listing_id,total_number_reviews,n_review,reviewer_name,title,stars,stayed,source,submitted,city,state
588399,11,1,Shawn S.,Cozy home,4,2016-11-23T00:00:00.000+0000,VRBO,2016-11-28T01:26:00.000+0000,Akron,OH
588399,11,2,Donnette A.,Great vacation home for a great price,5,2016-10-07T00:00:00.000+0000,VRBO,2016-10-11T00:26:00.000+0000,Akron,OH
588399,11,3,Crystal Z.,"Warm, inviting, updated home!",5,2016-08-04T00:00:00.000+0000,VRBO,2016-08-17T16:40:14.543+0000,Akron,OH
588399,11,4,Eleanor  L.,updated,4,2016-07-01T00:00:00.000+0000,VRBO,2016-07-08T18:51:00.000+0000,Akron,OH
588399,11,5,thomas h.,Perfect Visit,5,2016-04-22T00:00:00.000+0000,VRBO,2016-05-05T15:02:00.000+0000,Akron,OH
588399,11,6,Jo-Lyn P.,Christmas away from home ,5,2015-12-23T00:00:00.000+0000,VRBO,2015-12-27T19:44:16.637+0000,Akron,OH
588399,11,7,LB,Very Happy,5,2015-07-18T00:00:00.000+0000,VRBO,2015-07-30T20:32:55.427+0000,Akron,OH
588399,11,8,Linda C.,Linda Chan,5,2015-06-19T00:00:00.000+0000,VRBO,2015-07-13T20:26:00.367+0000,Akron,OH
588399,11,9,The Shupe G.,Wedding Stay,4,2014-12-09T00:00:00.000+0000,VRBO,2015-01-02T19:45:39.690+0000,Akron,OH
588399,11,10,Alan Reynolds,A home away from home,5,2014-07-23T00:00:00.000+0000,VRBO,2014-10-11T00:16:28.423+0000,Akron,OH
588399,11,11,Manu,A month in Akron,5,2014-08-30T00:00:00.000+0000,VRBO,2014-10-02T21:28:04.920+0000,Akron,OH
159220ha,83,1,theresa n.,Perfect in every way!,5,2017-05-31T00:00:00.000+0000,VRBO,2017-06-06T20:38:00.000+0000,Akron,OH
159220ha,83,2,Nembas,Visit,5,2017-05-13T00:00:00.000+0000,VRBO,2017-05-25T17:55:00.000+0000,Akron,OH
159220ha,83,3,Penny S.,As always this cottage is consistently clean and well supplied. Every detail has been thought of.,5,2017-04-28T00:00:00.000+0000,VRBO,2017-05-11T12:41:00.000+0000,Akron,OH
159220ha,83,4,Christina S.,"Perfect, quick getaway!",5,2017-04-21T00:00:00.000+0000,VRBO,2017-04-25T22:18:00.000+0000,Akron,OH
159220ha,83,5,Mary Lynn,Great little house,5,2017-03-24T00:00:00.000+0000,VRBO,2017-04-11T14:53:00.000+0000,Akron,OH
159220ha,83,6,Kristy B.,"Well-equipped, clean cottage.",5,2017-03-30T00:00:00.000+0000,VRBO,2017-04-02T16:22:00.000+0000,Akron,OH
159220ha,83,7,Andrea N.,Great house with wonderful view!,5,2017-02-18T00:00:00.000+0000,VRBO,2017-02-27T19:41:00.000+0000,Akron,OH
159220ha,83,8,Veronica F.,Excellent,5,2017-02-24T00:00:00.000+0000,VRBO,2017-02-26T20:55:00.000+0000,Akron,OH
159220ha,83,9,Jennifer E.,Wonderful,5,2016-12-27T00:00:00.000+0000,VRBO,2016-12-30T23:39:00.000+0000,Akron,OH
159220ha,83,10,theresa n.,Perfect getaway!,5,2016-12-02T00:00:00.000+0000,VRBO,2016-12-16T14:11:00.000+0000,Akron,OH
159220ha,83,11,Krista J.,Wonderful little get away!!!,5,2016-12-09T00:00:00.000+0000,VRBO,2016-12-11T12:55:00.000+0000,Akron,OH
159220ha,83,12,Andriy V.,Very nice cottage,5,2016-11-24T00:00:00.000+0000,VRBO,2016-12-05T02:42:34.583+0000,Akron,OH
159220ha,83,13,JoAnn F.,Cozy and Relaxing,5,2016-11-18T00:00:00.000+0000,VRBO,2016-11-26T07:52:00.000+0000,Akron,OH
159220ha,83,14,Steve K.,"Great weekend away from ""life"".",5,2016-11-04T00:00:00.000+0000,VRBO,2016-11-17T19:57:00.000+0000,Akron,OH
159220ha,83,15,Mary Lynn,Perfect Sized Cottage for Us,5,2016-10-29T00:00:00.000+0000,VRBO,2016-11-04T13:18:00.000+0000,Akron,OH
159220ha,83,16,Andy F.,Relaxing and refreshing,5,2016-10-27T00:00:00.000+0000,VRBO,2016-10-30T00:09:00.000+0000,Akron,OH
159220ha,83,17,Brant L.,Very enjoyable,4,2016-09-25T00:00:00.000+0000,VRBO,2016-10-04T03:48:00.000+0000,Akron,OH
159220ha,83,18,Kim S.,Perfect place for a getaway!,5,2016-09-03T00:00:00.000+0000,VRBO,2016-09-14T19:52:00.000+0000,Akron,OH
159220ha,83,19,Jill F.,Very clean and relaxing place to stay.,5,2016-08-25T00:00:00.000+0000,VRBO,2016-09-06T19:31:00.000+0000,Akron,OH
159220ha,83,20,Victoria C.,Story book perfect!,5,2016-09-01T00:00:00.000+0000,VRBO,2016-09-03T21:15:00.000+0000,Akron,OH
159220ha,83,21,Peggy Q.,"As always, our stay was wonderful!",4,2016-08-27T00:00:00.000+0000,VRBO,2016-09-01T15:51:00.000+0000,Akron,OH
159220ha,83,22,robert w.,Great,5,2016-08-01T00:00:00.000+0000,VRBO,2016-08-04T01:15:00.000+0000,Akron,OH
159220ha,83,23,Darlene G.,Week in Ohio,5,2016-07-10T00:00:00.000+0000,VRBO,2016-07-20T18:42:00.000+0000,Akron,OH
159220ha,83,24,Edward B.,Relaxing fishing getaway,5,2016-07-03T00:00:00.000+0000,VRBO,2016-07-09T20:17:21.483+0000,Akron,OH
159220ha,83,25,Peggy Q.,Great place to stay!,5,2016-06-15T00:00:00.000+0000,VRBO,2016-06-30T09:48:00.000+0000,Akron,OH
159220ha,83,26,vickie m.,Relaxing Cottage!!,5,2016-06-09T00:00:00.000+0000,VRBO,2016-06-13T17:01:00.000+0000,Akron,OH
159220ha,83,27,Jessica H.,The cabin was perfect!!!,5,2016-05-23T00:00:00.000+0000,VRBO,2016-05-30T08:40:33.463+0000,Akron,OH
159220ha,83,28,Jessica H.,The property was so pretty!,5,2016-05-23T00:00:00.000+0000,VRBO,2016-05-30T08:30:00.000+0000,Akron,OH
159220ha,83,29,Brad L.,RELAXING,5,2016-05-04T00:00:00.000+0000,VRBO,2016-05-11T22:46:00.000+0000,Akron,OH
159220ha,83,30,Liana J.,MOST ROMANTIC PLACE EVER!!,5,2016-04-08T00:00:00.000+0000,VRBO,2016-04-15T16:58:43.027+0000,Akron,OH
159220ha,83,31,Hannah G.,"Cute Cottage, Centrally Located",5,2016-03-29T00:00:00.000+0000,VRBO,2016-04-02T17:33:58.617+0000,Akron,OH
159220ha,83,32,becky g.,clean & comfortable,5,2016-03-04T00:00:00.000+0000,VRBO,2016-03-08T22:04:00.000+0000,Akron,OH
159220ha,83,33,Sam M.,"Beautiful cottage and property, incredibly clean, very reasonable price",5,2016-02-11T00:00:00.000+0000,VRBO,2016-02-18T12:45:00.000+0000,Akron,OH
159220ha,83,34,The Semples,"Perfect Spot to get away and unwind with family or friends, and very clean!",5,2015-10-29T00:00:00.000+0000,VRBO,2015-11-02T14:27:56.850+0000,Akron,OH
159220ha,83,35,Tamara B.,Beautiful view ,4,2015-10-14T00:00:00.000+0000,VRBO,2015-10-21T15:00:00.890+0000,Akron,OH
159220ha,83,36,Tamara B.,Beautiful view ,4,2015-10-14T00:00:00.000+0000,VRBO,2015-10-21T14:54:37.390+0000,Akron,OH
159220ha,83,37,Peggy Q.,This was a wonderful find!  The property was clean,5,2015-10-02T00:00:00.000+0000,VRBO,2015-10-15T09:44:22.983+0000,Akron,OH
159220ha,83,38,Penny S.,Penny Suulivan,5,2015-10-05T00:00:00.000+0000,VRBO,2015-10-12T01:35:34.827+0000,Akron,OH
159220ha,83,39,cory c.,Akron,5,2015-09-25T00:00:00.000+0000,VRBO,2015-09-27T17:42:51.110+0000,Akron,OH
159220ha,83,40,Sister Ruth U.,beautiful retreat space!,5,2015-08-23T00:00:00.000+0000,VRBO,2015-09-08T18:47:54.667+0000,Akron,OH
159220ha,83,41,James H.,Awesome house and owners ,5,2015-08-17T00:00:00.000+0000,VRBO,2015-08-25T03:17:49.183+0000,Akron,OH
159220ha,83,42,Cecelia l.,much needed R&R,5,2015-07-11T00:00:00.000+0000,VRBO,2015-07-29T12:14:38.047+0000,Akron,OH
159220ha,83,43,d k.,Wonderful cottage on the Portage Lakes,5,2015-06-09T00:00:00.000+0000,VRBO,2015-06-29T02:32:02.400+0000,Akron,OH
159220ha,83,44,Madelyn S.,Such a great place!,5,2015-06-02T00:00:00.000+0000,VRBO,2015-06-18T00:41:56.913+0000,Akron,OH
159220ha,83,45,Kim B.,THE PERFECT GET-AWAY,5,2015-05-15T00:00:00.000+0000,VRBO,2015-05-20T01:57:00.000+0000,Akron,OH
159220ha,83,46,Carey P.,Highly recommend,5,2015-04-10T00:00:00.000+0000,VRBO,2015-04-14T17:59:28.420+0000,Akron,OH
159220ha,83,47,Anonymous,Really nice place to stay,4,2015-04-06T00:00:00.000+0000,VRBO,2015-04-14T16:31:46.923+0000,Akron,OH
159220ha,83,48,Darlene G.,Our vacation at Lakefront Cottage,5,2014-08-31T00:00:00.000+0000,VRBO,2014-09-08T21:22:59.763+0000,Akron,OH
159220ha,83,49,debbie k.,Wonderful Cottage,5,2014-08-15T00:00:00.000+0000,VRBO,2014-08-25T15:21:25.197+0000,Akron,OH
159220ha,83,50,Gabrielle and Terry H.,"Wonderful rental, very nice, helpful owners",5,2014-07-05T00:00:00.000+0000,VRBO,2014-08-07T22:41:48.507+0000,Akron,OH
159220ha,83,51,Sandra K.,Best weekly rental ever!,5,2014-05-23T00:00:00.000+0000,VRBO,2014-06-12T17:00:54.177+0000,Akron,OH
159220ha,83,52,Margie C.,Great place on Portage Lakes,5,2014-04-12T00:00:00.000+0000,VRBO,2014-04-16T21:31:57.847+0000,Akron,OH
159220ha,83,53,Patrick and Lori M.,An Amazing Wildlife Sanctuary!,5,2014-04-07T00:00:00.000+0000,VRBO,2014-04-11T13:29:39.207+0000,Akron,OH
159220ha,83,54,charlon w.,Breath taking!,5,2013-12-30T00:00:00.000+0000,VRBO,2014-01-05T01:25:32.430+0000,Akron,OH
159220ha,83,55,Jason M.,Beautiful scenery and a great house,5,2013-10-27T00:00:00.000+0000,VRBO,2013-11-27T05:39:11.340+0000,Akron,OH
159220ha,83,56,Angela and Mike M.,Best Cottage on Long Lake,5,2013-10-10T00:00:00.000+0000,VRBO,2013-10-13T21:46:17.763+0000,Akron,OH
159220ha,83,57,Lauren F.,Wonderful escape!,5,2013-09-06T00:00:00.000+0000,VRBO,2013-09-17T22:34:03.497+0000,Akron,OH
159220ha,83,58,Amber M.,Absolutely amazing.,5,2013-07-16T00:00:00.000+0000,VRBO,2013-08-07T20:20:29.273+0000,Akron,OH
159220ha,83,59,Loretta D.,AWESOMENESS!,5,2013-01-04T00:00:00.000+0000,VRBO,2013-01-25T20:18:26.863+0000,Akron,OH
159220ha,83,60,Russell H.,Incredible Get-Away,5,2012-12-09T00:00:00.000+0000,VRBO,2012-12-12T15:46:59.807+0000,Akron,OH
159220ha,83,61,Tricia B.,Spic and Span,5,2012-10-31T00:00:00.000+0000,VRBO,2012-11-09T19:09:41.653+0000,Akron,OH
159220ha,83,62,Kimberly T.,Vacation-Family Reunion,5,2012-10-15T00:00:00.000+0000,VRBO,2012-10-26T15:05:15.013+0000,Akron,OH
159220ha,83,63,Larry T.,Cozy Cabin At The Lake,5,2012-10-07T00:00:00.000+0000,VRBO,2012-10-18T15:53:17.567+0000,Akron,OH
159220ha,83,64,Katrina,Perfect Lake Getaway,5,2012-10-04T00:00:00.000+0000,VRBO,2012-10-10T01:51:17.197+0000,Akron,OH
159220ha,83,65,Thalia  C.,Escape from Reality? Yes. ,5,2012-03-14T00:00:00.000+0000,VRBO,2012-03-24T18:31:14.800+0000,Akron,OH
159220ha,83,66,Eric H. & Javier R,So relaxing that i could not do my work,5,2012-02-14T00:00:00.000+0000,VRBO,2012-03-21T16:00:32.420+0000,Akron,OH
159220ha,83,67,BRARD F.,"Charming, comfortable and resting",5,2011-12-27T00:00:00.000+0000,VRBO,2012-01-18T22:18:44.763+0000,Akron,OH
159220ha,83,68,Nikki V.,What a relaxing stay,5,2011-06-12T00:00:00.000+0000,VRBO,2011-07-01T17:35:14.490+0000,Akron,OH
159220ha,83,69,T,Can't wait to go back!,5,2011-05-08T00:00:00.000+0000,VRBO,2011-05-16T04:27:50.033+0000,Akron,OH
159220ha,83,70,rebecca,beautiful little fishing cottage,5,2011-05-06T00:00:00.000+0000,VRBO,2011-05-11T11:53:20.060+0000,Akron,OH
159220ha,83,71,Linda,Fall Visit,5,2010-10-25T00:00:00.000+0000,VRBO,2010-10-30T19:56:24.287+0000,Akron,OH
159220ha,83,72,mom with two teens,July 11-18 2010,5,2010-07-11T00:00:00.000+0000,VRBO,2010-07-20T17:43:36.397+0000,Akron,OH
159220ha,83,73,to to,family reunion,5,2010-04-01T00:00:00.000+0000,VRBO,2010-04-06T01:25:36.500+0000,Akron,OH
159220ha,83,74,TTYXS,Very nice,5,2010-03-02T00:00:00.000+0000,VRBO,2010-03-04T21:50:20.627+0000,Akron,OH
159220ha,83,75,KirstenJ,Wonderful cabin,5,2009-08-15T00:00:00.000+0000,VRBO,2010-02-23T17:45:24.843+0000,Akron,OH
159220ha,83,76,Kim G.,Tranquility on Long Lake ,5,2009-07-10T00:00:00.000+0000,VRBO,2009-07-21T15:25:45.277+0000,Akron,OH
159220ha,83,77,jonip2211,Great View,5,2009-07-09T00:00:00.000+0000,VRBO,2009-07-17T17:13:55.177+0000,Akron,OH
159220ha,83,78,Kasota,Absolutely Delightful!,5,2009-05-24T00:00:00.000+0000,VRBO,2009-06-10T02:53:15.117+0000,Akron,OH
159220ha,83,79,Nembas,Great Relaxation,5,2009-05-08T00:00:00.000+0000,VRBO,2009-05-29T11:25:52.460+0000,Akron,OH
159220ha,83,80,Bryan,Nice Little Getaway,5,2009-04-16T00:00:00.000+0000,VRBO,2009-04-29T00:15:28.490+0000,Akron,OH
159220ha,83,81,SandraDebbie,Excellent!!!,5,2009-02-13T00:00:00.000+0000,VRBO,2009-03-03T18:51:49.567+0000,Akron,OH
159220ha,83,82,red88,akron lake house,5,2008-05-23T00:00:00.000+0000,VRBO,2008-06-14T20:03:30.773+0000,Akron,OH
159220ha,83,83,severine,A beautiful home !,5,2012-08-23T00:00:00.000+0000,VRBO,2012-12-01T18:51:43.917+0000,Akron,OH
3997520ha,17,1,Marta A.,1890 Victorian home--- such a treasure,5,2017-05-04T00:00:00.000+0000,VRBO,2017-05-31T17:55:00.000+0000,Akron,OH
3997520ha,17,2,TIM M.,Charming!,5,2017-03-25T00:00:00.000+0000,VRBO,2017-04-12T14:32:00.000+0000,Akron,OH
3997520ha,17,3,Melody C.,An historical excellence ,4,2017-03-25T00:00:00.000+0000,VRBO,2017-04-10T17:10:00.000+0000,Akron,OH
3997520ha,17,4,Biancha R.,Lovely home with plenty character,5,2017-02-21T00:00:00.000+0000,VRBO,2017-03-09T11:23:00.000+0000,Akron,OH
3997520ha,17,5,Robert P.,Very charming and quant home!,4,2017-02-18T00:00:00.000+0000,VRBO,2017-02-20T05:44:00.000+0000,Akron,OH
3997520ha,17,6,Juanita W.,Excellent,5,2017-01-01T00:00:00.000+0000,VRBO,2017-02-01T21:01:00.000+0000,Akron,OH
3997520ha,17,7,Deborah W.,Very nice property.,5,2016-12-09T00:00:00.000+0000,VRBO,2016-12-12T17:47:00.000+0000,Akron,OH
3997520ha,17,8,Heaven L.,Excellent,5,2016-11-20T00:00:00.000+0000,VRBO,2016-11-27T13:21:00.000+0000,Akron,OH
3997520ha,17,9,Anonymous,Quiet and Lovely,5,2016-10-01T00:00:00.000+0000,VRBO,2016-10-18T15:56:00.000+0000,Akron,OH
3997520ha,17,10,David B.,Family Friendly,5,2016-10-08T00:00:00.000+0000,VRBO,2016-10-12T01:17:00.000+0000,Akron,OH
3997520ha,17,11,Susan Cadman,"Spacious property, with useful areas in and out of doors",3,2016-07-30T00:00:00.000+0000,VRBO,2016-08-14T18:33:00.000+0000,Akron,OH
3997520ha,17,12,Art O.,Quiet and safe,4,2016-07-24T00:00:00.000+0000,VRBO,2016-07-30T18:03:00.000+0000,Akron,OH
3997520ha,17,13,Gene T.,A Work in Progress,4,2016-06-01T00:00:00.000+0000,VRBO,2016-07-07T18:15:00.000+0000,Akron,OH
3997520ha,17,14,Rubie C.,Excellent stay!,5,2016-05-20T00:00:00.000+0000,VRBO,2016-05-28T00:49:00.000+0000,Akron,OH
3997520ha,17,15,kathy c.,Fantastic House with Everything You Need,5,2016-04-23T00:00:00.000+0000,VRBO,2016-04-27T16:52:00.000+0000,Akron,OH
3997520ha,17,16,ELAINE D.,Lovely Farmhouse and Spacious Grounds,4,2015-09-30T00:00:00.000+0000,VRBO,2015-11-01T10:12:00.000+0000,Akron,OH
3997520ha,17,17,JONA A.,Time with family,3,2015-09-23T00:00:00.000+0000,VRBO,2015-10-03T18:44:00.000+0000,Akron,OH
3591310ha,39,1,Jacqueline S.,"Lovely view. Clean, quiet, comfortable.",4,2017-04-20T00:00:00.000+0000,VRBO,2017-04-24T00:08:00.000+0000,Akron,OH
3591310ha,39,2,Steven D.,Could have been better,3,2017-04-02T00:00:00.000+0000,VRBO,2017-04-09T04:35:00.000+0000,Akron,OH
3591310ha,39,3,Paul Szym,A Great Place for a Weekend Getaway,5,2017-02-18T00:00:00.000+0000,VRBO,2017-02-19T17:35:00.000+0000,Akron,OH
3591310ha,39,4,Eric A.,A real gem!,5,2016-10-08T00:00:00.000+0000,VRBO,2016-10-11T15:00:00.000+0000,Akron,OH
3591310ha,39,5,Lynn B.,Peaceful & Comfortable Nice Home ,5,2016-09-15T00:00:00.000+0000,VRBO,2016-09-18T15:57:15.923+0000,Akron,OH
3591310ha,39,6,Elizabeth,Beautiful and Peaceful,5,2016-08-25T00:00:00.000+0000,VRBO,2016-08-28T12:42:48.407+0000,Akron,OH
3591310ha,39,7,Linda S.,Nice Relaxing Vacation,5,2016-08-01T00:00:00.000+0000,VRBO,2016-08-17T14:07:00.000+0000,Akron,OH
3591310ha,39,8,Paul A.,Peaceful it is,4,2016-07-13T00:00:00.000+0000,VRBO,2016-07-21T14:11:00.000+0000,Akron,OH
3591310ha,39,9,bonnie b.,great time,5,2016-07-07T00:00:00.000+0000,VRBO,2016-07-14T14:03:00.000+0000,Akron,OH
3591310ha,39,10,Sharon B.,Great all the way around,4,2016-06-10T00:00:00.000+0000,VRBO,2016-06-18T22:47:00.000+0000,Akron,OH
3591310ha,39,11,Robert C.,Wonderful Hosts,5,2016-06-02T00:00:00.000+0000,VRBO,2016-06-15T15:01:13.070+0000,Akron,OH
3591310ha,39,12,Melissa E.,"Clean, convenient, complete",5,2016-05-22T00:00:00.000+0000,VRBO,2016-06-04T15:01:00.000+0000,Akron,OH
3591310ha,39,13,Patrick W.,"Great location, Great People",5,2016-05-28T00:00:00.000+0000,VRBO,2016-06-02T11:22:00.000+0000,Akron,OH
3591310ha,39,14,Danny F.,It is a great waterfront property,5,2016-05-17T00:00:00.000+0000,VRBO,2016-05-18T23:22:33.257+0000,Akron,OH
3591310ha,39,15,Laura B.,Great local getaway,5,2016-04-09T00:00:00.000+0000,VRBO,2016-04-22T14:44:00.000+0000,Akron,OH
3591310ha,39,16,Jesse  S.,Wonderful Weekend Stay On The Portage Lakes,5,2016-04-16T00:00:00.000+0000,VRBO,2016-04-17T22:40:00.000+0000,Akron,OH
3591310ha,39,17,steve n.,Beautiful & Relaxing Stay !!!,5,2016-04-11T00:00:00.000+0000,VRBO,2016-04-12T19:55:00.000+0000,Akron,OH
3591310ha,39,18,Kathleen S.,"Clean, Simple, and a Great View of Lake.",5,2015-11-25T00:00:00.000+0000,VRBO,2016-04-11T16:43:00.000+0000,Akron,OH
3591310ha,39,19,Kenneth H.,Great Quiet Location,5,2016-03-13T00:00:00.000+0000,VRBO,2016-03-24T11:10:00.000+0000,Akron,OH
3591310ha,39,20,Ann S.,Smelly water !,2,2015-12-03T00:00:00.000+0000,VRBO,2016-03-23T20:45:00.000+0000,Akron,OH
3591310ha,39,21,Laura S.,Wonderful Home on Lake Portage to Recoup from Medical Procedure,5,2015-11-09T00:00:00.000+0000,VRBO,2015-11-20T14:24:00.000+0000,Akron,OH
3591310ha,39,22,Todd M.,Everything we hoped it would be. ,5,2015-10-17T00:00:00.000+0000,VRBO,2015-11-02T23:23:24.930+0000,Akron,OH
3591310ha,39,23,Susan Cadman,Disappointing,1,2015-09-13T00:00:00.000+0000,VRBO,2015-10-06T20:39:31.750+0000,Akron,OH
3591310ha,39,24,matt g.,Fishing trip,5,2015-09-26T00:00:00.000+0000,VRBO,2015-09-29T03:12:53.793+0000,Akron,OH
3591310ha,39,25,Jan,A nice place,4,2015-09-05T00:00:00.000+0000,VRBO,2015-09-15T12:37:02.393+0000,Akron,OH
3591310ha,39,26,Beatrice D.,Relaxing,5,2015-08-20T00:00:00.000+0000,VRBO,2015-09-14T14:39:06.343+0000,Akron,OH
3591310ha,39,27,Mary V.,Clean Comfortable and Cute,4,2015-07-25T00:00:00.000+0000,VRBO,2015-08-05T01:27:19.187+0000,Akron,OH
3591310ha,39,28,Tom P.,Great Jet Skiing and Kayaking!,5,2015-07-07T00:00:00.000+0000,VRBO,2015-07-16T22:48:05.383+0000,Akron,OH
3591310ha,39,29,Diane A.,Excellent Home Away from Home in Akron!,5,2015-06-09T00:00:00.000+0000,VRBO,2015-06-16T03:15:58.377+0000,Akron,OH
3591310ha,39,30,Patricia G.,Perfect home to visit Cuyahoga Vallley.,5,2015-05-25T00:00:00.000+0000,VRBO,2015-06-03T12:10:42.387+0000,Akron,OH
3591310ha,39,31,Benjamin Z.,Perfect Relaxing Place,5,2015-05-10T00:00:00.000+0000,VRBO,2015-05-15T02:06:00.000+0000,Akron,OH
3591310ha,39,32,Anonymous,Best new year eve 14-15,5,2014-12-31T00:00:00.000+0000,VRBO,2015-01-01T07:04:00.000+0000,Akron,OH
3591310ha,39,33,Kyle H.,Great Stay!,5,2014-09-26T00:00:00.000+0000,VRBO,2014-10-06T18:08:32.130+0000,Akron,OH
3591310ha,39,34,Fly Girl, Clean and Quiet,5,2014-06-02T00:00:00.000+0000,VRBO,2014-07-28T19:46:06.457+0000,Akron,OH
3591310ha,39,35,adam r.,Great Getaway!,4,2014-07-07T00:00:00.000+0000,VRBO,2014-07-21T19:17:11.347+0000,Akron,OH
3591310ha,39,36,Anonymous,Quiet little cottage on a beautiful lake. ,4,2014-06-11T00:00:00.000+0000,VRBO,2014-06-20T17:11:50.240+0000,Akron,OH
3591310ha,39,37,Olivia B.,Nice play to stay with a wonderful view,5,2014-05-21T00:00:00.000+0000,VRBO,2014-05-30T04:47:58.590+0000,Akron,OH
3591310ha,39,38,Abcsmom,Very clean! Great owners! Great communication!,5,2013-11-16T00:00:00.000+0000,VRBO,2013-11-20T04:27:58.553+0000,Akron,OH
3591310ha,39,39,Mary B.,Beautiful view in rustic cottage,5,2013-11-08T00:00:00.000+0000,VRBO,2013-11-20T01:52:49.530+0000,Akron,OH
